Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size|ETF|NextShares
ACHC|Acadia Healthcare Company, Inc. - Common Stock|Q|N|N|100.0|N|N
ACHV|Achieve Life Sciences, Inc.  - Common Shares|S|N|N|100.0|N|N
ACIC|American Coastal Insurance Corporation - Common Stock|S|N|N|100.0|N|N
ACIU|AC Immune SA - Common Stock|G|N|N|100.0|N|N
ACIW|ACI Worldwide, Inc. - Common Stock|Q|N|N|100.0|N|N
ACLS|Axcelis Technologies, Inc. - Common Stock|Q|N|N|100.0|N|N
ACLX|Arcellx, Inc. - Common Stock|Q|N|N|100.0|N|N
ACMR|ACM Research, Inc. - Class A Common Stock|G|N|N|100.0|N|N
ACNB|ACNB Corporation - Common Stock|S|N|N|100.0|N|N
ACNT|Ascent Industries Co. - Common Stock|G|N|N|100.0|N|N
ACONW|Aclarion, Inc. - Warrant|S|N|N|100.0|N|N
ACRS|Aclaris Therapeutics, Inc. - Common Stock|Q|N|N|100.0|N|N
ACRV|Acrivon Therapeutics, Inc. - Common Stock|G|N|N|100.0|N|N
ACST|Acasti Pharma, Inc.  - Class A Common Stock|S|N|N|100.0|N|N
ACT|Enact Holdings, Inc. - Common Stock|Q|N|N|100.0|N|N
ACTG|Acacia Research Corporation - Common Stock|Q|N|N|100.0|N|N
ACVA|ACV Auctions Inc. - Class A Common Stock|Q|N|N|100.0|N|N
ACXP|Acurx Pharmaceuticals, Inc. - Common Stock|S|N|N|100.0|N|N
ADAG|Adagene Inc. - ADS, each representing 1.25 ordinary shares|G|N|N|100.0|N|N
ADAP|Adaptimmune Therapeutics plc - American Depositary Shares|Q|N|N|100.0|N|N
ADBE|Adobe Inc. - Common Stock|Q|N|N|100.0|N|N
ADEA|Adeia Inc.  - Common Stock|Q|N|N|100.0|N|N
ADI|Analog Devices, Inc. - Common Stock|Q|N|N|100.0|N|N
ADIL|Adial Pharmaceuticals, Inc - Common Stock|S|N|N|100.0|N|N
ADMA|ADMA Biologics Inc - Common Stock|G|N|N|100.0|N|N
ADP|Automatic Data Processing, Inc. - Common Stock|Q|N|N|100.0|N|N
ADPT|Adaptive Biotechnologies Corporation - Common Stock|Q|N|N|100.0|N|N
ADSE|ADS-TEC ENERGY PLC - Ordinary Shares|S|N|N|100.0|N|N
ADSEW|ADS-TEC ENERGY PLC - Warrant|S|N|N|100.0|N|N
ADSK|Autodesk, Inc. - Common Stock|Q|N|N|100.0|N|N
ADTH|AdTheorent Holding Company, Inc. - Common Stock|S|N|N|100.0|N|N
ADTHW|AdTheorent Holding Company, Inc. - Warrants|S|N|N|100.0|N|N
ADTN|ADTRAN Holdings, Inc. - Common Stock|Q|N|N|100.0|N|N
ADTX|Aditxt, Inc. - Common Stock|S|N|N|100.0|N|N
ADUS|Addus HomeCare Corporation - Common Stock|Q|N|N|100.0|N|N
ADV|Advantage Solutions Inc.  - Class A Common Stock|Q|N|N|100.0|N|N
ADVM|Adverum Biotechnologies, Inc. - Common Stock|S|N|N|100.0|N|N
ADVWW|Advantage Solutions Inc.  - Warrant|Q|N|N|100.0|N|N
ADXN|Addex Therapeutics Ltd - American Depositary Shares|S|N|N|100.0|N|N
AEAEU|AltEnergy Acquisition Corp. - Unit|G|N|N|100.0|N|N
AEAEW|AltEnergy Acquisition Corp. - Warrant|G|N|N|100.0|N|N
AEHL|Antelope Enterprise Holdings Limited - Class A Ordinary Shares|S|N|N|100.0|N|N
AEHR|Aehr Test Systems - Common Stock|S|N|N|100.0|N|N
AEIS|Advanced Energy Industries, Inc. - Common Stock|Q|N|N|100.0|N|N
AEMD|Aethlon Medical, Inc. - Common Stock|S|N|N|100.0|N|N
AENT|Alliance Entertainment Holding Corporation - common stock|S|N|N|100.0|N|N
AENTW|Alliance Entertainment Holding Corporation - Warrants|S|N|N|100.0|N|N
AEP|American Electric Power Company, Inc. - Common Stock|Q|N|N|100.0|N|N
AERT|Aeries Technology, Inc. - Class A Ordinary Share|S|N|N|100.0|N|N
AERTW|Aeries Technology, Inc. - Warrant|S|N|N|100.0|N|N
AEYE|AudioEye, Inc. - Common Stock|S|N|N|100.0|N|N
AEZS|Aeterna Zentaris Inc. - Common Stock|S|N|N|100.0|N|N
AFBI|Affinity Bancshares, Inc. - Common Stock|S|N|N|100.0|N|N
AFCG|AFC Gamma, Inc. - Common Stock|G|N|N|100.0|N|N
AFJK|Aimei Health Technology Co., Ltd - Ordinary Share|G|N|N|100.0|N|N
AFJKR|Aimei Health Technology Co., Ltd - Right|G|N|N|100.0|N|N
AFJKU|Aimei Health Technology Co., Ltd - Unit|G|N|N|100.0|N|N
AFMD|Affimed N.V. - Common Stock|G|N|N|100.0|N|N
AFRI|Forafric Global PLC - Ordinary Shares|S|N|N|100.0|N|N
AFRIW|Forafric Global PLC - Warrants|S|N|N|100.0|N|N
AFRM|Affirm Holdings, Inc. - Class A Common Stock|Q|N|N|100.0|N|N
AFYA|Afya Limited - Class A Common Shares|Q|N|N|100.0|N|N
AGBA|AGBA Group Holding Limited - Ordinary Share|S|N|N|100.0|N|N
AGBAW|AGBA Group Holding Limited - Warrant|S|N|N|100.0|N|N
AGEN|Agenus Inc. - Common Stock|S|N|N|100.0|N|N
AGIO|Agios Pharmaceuticals, Inc. - Common Stock|Q|N|N|100.0|N|N
AGNC|AGNC Investment Corp. - Common Stock|Q|N|N|100.0|N|N
AGNCL|AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock|Q|N|N|100.0|N|N
AGNCM|AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock|Q|N|N|100.0|N|N
AGNCN|AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock|Q|N|N|100.0|N|N
AGNCO|AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock|Q|N|N|100.0|N|N
AGNCP|AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock|Q|N|N|100.0|N|N
AGRIW|AgriFORCE  Growing Systems Ltd. - Warrant|S|N|N|100.0|N|N
AGYS|Agilysys, Inc. - Common Stock|Q|N|N|100.0|N|N
AHCO|AdaptHealth Corp.  - Common Stock|S|N|N|100.0|N|N
AHG|Akso Health Group - American Depositary Shares|S|N|N|100.0|N|N
AIHS|Senmiao Technology Limited - Common Stock|S|N|N|100.0|N|N
AILE|iLearningEngines, Inc. - Common Stock|S|N|N|100.0|N|N
AILEW|iLearningEngines, Inc. - Warrant|S|N|N|100.0|N|N
AIMAU|Aimfinity Investment Corp. I - Unit|G|N|N|100.0|N|N
AIMAW|Aimfinity Investment Corp. I - Warrant|G|N|N|100.0|N|N
AIMBU|Aimfinity Investment Corp. I - Subunit|G|N|N|100.0|N|N
AIMD|Ainos, Inc. - Common Stock|S|N|N|100.0|N|N
AIMDW|Ainos, Inc. - warrants|S|N|N|100.0|N|N
AIP|Arteris, Inc.  - Common Stock|G|N|N|100.0|N|N
AIRE|reAlpha Tech Corp. - Common Stock|S|N|N|100.0|N|N
AIRG|Airgain, Inc. - Common Stock|S|N|N|100.0|N|N
AIRJ|Montana Technologies Corp - Class A Common Stock|S|N|N|100.0|N|N
AIRJW|Montana Technologies Corp - Warrant|S|N|N|100.0|N|N
AIRS|AirSculpt Technologies, Inc. - Common Stock|G|N|N|100.0|N|N
AIRT|Air T, Inc. - Common Stock|S|N|N|100.0|N|N
AIRTP|Air T, Inc. - Trust Preferred Securities|G|N|N|100.0|N|N
AISP|Airship AI Holdings, Inc - Class A Common Stock|G|N|N|100.0|N|N
AISPW|Airship AI Holdings, Inc - Warrants|S|N|N|100.0|N|N
AITR|AI TRANSPORTATION ACQUISITION CORP - Ordinary shares|S|N|N|100.0|N|N
AITRR|AI TRANSPORTATION ACQUISITION CORP - Right|S|N|N|100.0|N|N
AITRU|AI TRANSPORTATION ACQUISITION CORP - Unit|S|N|N|100.0|N|N
AIXI|XIAO-I Corporation - American Depositary Shares|G|N|N|100.0|N|N
AKAM|Akamai Technologies, Inc. - Common Stock|Q|N|N|100.0|N|N
AKBA|Akebia Therapeutics, Inc. - Common Stock|S|N|N|100.0|N|N
AKRO|Akero Therapeutics, Inc. - Common Stock|Q|N|N|100.0|N|N
AKYA|Akoya BioSciences, Inc. - Common Stock|Q|N|N|100.0|N|N
ALAB|Astera Labs, Inc. - Common Stock|Q|N|N|100.0|N|N
ALAR|Alarum Technologies Ltd. - American Depositary Shares|S|N|N|100.0|N|N
ALCO|Alico, Inc. - Common Stock|Q|N|N|100.0|N|N
ALCY|Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares|G|N|N|100.0|N|N
ALCYU|Alchemy Investments Acquisition Corp 1 - Units|G|N|N|100.0|N|N
ALCYW|Alchemy Investments Acquisition Corp 1 - Warrants|G|N|N|100.0|N|N
ALDX|Aldeyra Therapeutics, Inc. - Common Stock|S|N|N|100.0|N|N
ALEC|Alector, Inc. - Common Stock|Q|N|N|100.0|N|N
ALFUU|Centurion Acquisition Corp. - Unit|G|N|N|100.0|N|N
ALGM|Allegro MicroSystems, Inc. - Common Stock|Q|N|N|100.0|N|N
ALGN|Align Technology, Inc. - Common Stock|Q|N|N|100.0|N|N
ALGT|Allegiant Travel Company - Common Stock|Q|N|N|100.0|N|N
ALHC|Alignment Healthcare, Inc. - Common Stock|Q|N|N|100.0|N|N
ALIM|Alimera Sciences, Inc. - Common Stock|G|N|N|100.0|N|N
ALKS|Alkermes plc - Ordinary Shares|Q|N|N|100.0|N|N
ALKT|Alkami Technology, Inc. - Common Stock|Q|N|N|100.0|N|N
ALLK|Allakos Inc. - Common Stock|Q|N|N|100.0|N|N
ALLO|Allogene Therapeutics, Inc. - Common Stock|Q|N|N|100.0|N|N
ALLR|Allarity Therapeutics, Inc. - Common stock|S|N|N|100.0|N|N
ALLT|Allot Ltd. - Ordinary Shares|Q|N|N|100.0|N|N
ALNT|Allient Inc. - Common Stock|G|N|N|100.0|N|N
ALNY|Alnylam Pharmaceuticals, Inc. - Common Stock|Q|N|N|100.0|N|N
ALOT|AstroNova, Inc. - Common Stock|G|N|N|100.0|N|N
ALRM|Alarm.com Holdings, Inc. - Common Stock|Q|N|N|100.0|N|N
ALRN|Aileron Therapeutics, Inc. - Common Stock|S|N|N|100.0|N|N
ALRS|Alerus Financial Corporation - Common Stock|S|N|N|100.0|N|N
ALT|Altimmune, Inc. - Common Stock|G|N|N|100.0|N|N
ALTI|AlTi Global, Inc. - Class A Common Stock|S|N|N|100.0|N|N
ALTO|Alto Ingredients, Inc. - Common Stock|S|N|N|100.0|N|N
ALTR|Altair Engineering Inc. - Class A Common Stock|Q|N|N|100.0|N|N
ALVO|Alvotech - Ordinary Shares|G|N|N|100.0|N|N
ALVOW|Alvotech - Warrant|G|N|N|100.0|N|N
ALXO|ALX Oncology Holdings Inc. - Common Stock|Q|N|N|100.0|N|N
AMAL|Amalgamated Financial Corp. - Common Stock|G|N|N|100.0|N|N
AMAT|Applied Materials, Inc. - Common Stock|Q|N|N|100.0|N|N
AMBA|Ambarella, Inc. - Ordinary Shares|Q|N|N|100.0|N|N
AMCX|AMC Networks Inc. - Class A Common Stock|Q|N|N|100.0|N|N
AMD|Advanced Micro Devices, Inc. - Common Stock|Q|N|N|100.0|N|N
AMED|Amedisys Inc - Common Stock|Q|N|N|100.0|N|N
AMGN|Amgen Inc. - Common Stock|Q|N|N|100.0|N|N
AMIX|Autonomix Medical, Inc. - Common Stock|S|N|N|100.0|N|N
AMKR|Amkor Technology, Inc. - Common Stock|Q|N|N|100.0|N|N
AMLX|Amylyx Pharmaceuticals, Inc. - Common Stock|Q|N|N|100.0|N|N
AMPG|Amplitech Group, Inc. - Common Stock|S|N|N|100.0|N|N
AMPGW|Amplitech Group, Inc. - Warrants|S|N|N|100.0|N|N
AMPH|Amphastar Pharmaceuticals, Inc. - Common Stock|Q|N|N|100.0|N|N
AMPL|Amplitude, Inc. - Class A Common Stock|S|N|N|100.0|N|N
AMRK|A-Mark Precious Metals, Inc. - Common Stock|Q|N|N|100.0|N|N
AMRX|Amneal Pharmaceuticals, Inc. - Class A Common Stock|Q|N|N|100.0|N|N
AMSC|American Superconductor Corporation - Common Stock|Q|N|N|100.0|N|N
AMSF|AMERISAFE, Inc. - Common Stock|Q|N|N|100.0|N|N
AMST|Amesite Inc. - Common Stock|S|N|N|100.0|N|N
AMSWA|American Software, Inc. - Class A Common Stock|Q|N|N|100.0|N|N
AMTX|Aemetis, Inc - Common Stock|G|N|N|100.0|N|N
AMWD|American Woodmark Corporation - Common Stock|Q|N|N|100.0|N|N
AMZN|Amazon.com, Inc. - Common Stock|Q|N|N|100.0|N|N
ANAB|AnaptysBio, Inc. - Common Stock|Q|N|N|100.0|N|N
ANDE|The Andersons, Inc. - Common Stock|Q|N|N|100.0|N|N
ANEB|Anebulo Pharmaceuticals, Inc. - Common Stock|S|N|N|100.0|N|N
ANGH|Anghami Inc. - Ordinary Shares|G|N|N|100.0|N|N
ANGHW|Anghami Inc. - Warrants|S|N|N|100.0|N|N
ANGI|Angi Inc. - Class A Common Stock|Q|N|N|100.0|N|N
ANGO|AngioDynamics, Inc. - Common Stock|Q|N|N|100.0|N|N
ANIK|Anika Therapeutics Inc. - Common Stock|Q|N|N|100.0|N|N
ANIP|ANI Pharmaceuticals, Inc. - Common Stock|G|N|N|100.0|N|N
ANIX|Anixa Biosciences, Inc. - Common Stock|S|N|N|100.0|N|N
ANL|Adlai Nortye Ltd. - American Depositary Shares|G|N|N|100.0|N|N
ANNX|Annexon, Inc. - common stock|Q|N|N|100.0|N|N
ANSS|ANSYS, Inc. - Common Stock|Q|N|N|100.0|N|N
ANTE|AirNet Technology Inc. - American Depositary Shares, each representing one ordinary shares|S|N|N|100.0|N|N
ANTX|AN2 Therapeutics, Inc. - Common Stock|Q|N|N|100.0|N|N
ANY|Sphere 3D Corp. - Common Shares|S|N|N|100.0|N|N
AOSL|Alpha and Omega Semiconductor Limited - Common Shares|Q|N|N|100.0|N|N
AOUT|American Outdoor Brands, Inc. - Common Stock|Q|N|N|100.0|N|N
APA|APA Corporation - Common Stock|Q|N|N|100.0|N|N
APCXW|AppTech Payments Corp. - Warrant|S|N|N|100.0|N|N
APEI|American Public Education, Inc. - Common Stock|Q|N|N|100.0|N|N
APGE|Apogee Therapeutics, Inc. - Common Stock|G|N|N|100.0|N|N
API|Agora, Inc. - ADS|Q|N|N|100.0|N|N
APLD|Applied Digital Corporation - Common Stock|Q|N|N|100.0|N|N
APLMW|Apollomics Inc. - Warrant|S|N|N|100.0|N|N
APLS|Apellis Pharmaceuticals, Inc. - Common Stock|Q|N|N|100.0|N|N
APLT|Applied Therapeutics, Inc. - Common Stock|G|N|N|100.0|N|N
APM|Aptorum Group Limited - Class A Ordinary Shares|S|N|N|100.0|N|N
APOG|Apogee Enterprises, Inc. - Common Stock|Q|N|N|100.0|N|N
APP|Applovin Corporation - Class A Common Stock|Q|N|N|100.0|N|N
APPF|AppFolio, Inc. - Class A Common Stock|G|N|N|100.0|N|N
APPN|Appian Corporation - Class A Common Stock|G|N|N|100.0|N|N
APPS|Digital Turbine, Inc. - Common Stock|S|N|N|100.0|N|N
APRE|Aprea Therapeutics, Inc. - Common Stock|S|N|N|100.0|N|N
APVO|Aptevo Therapeutics Inc. - Common Stock|S|N|N|100.0|N|N
APWC|Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share|S|N|N|100.0|N|N
APYX|Apyx Medical Corporation - Common Stock|Q|N|N|100.0|N|N
AQB|AquaBounty Technologies, Inc. - Common Stock|S|N|N|100.0|N|N
AQST|Aquestive Therapeutics, Inc. - Common Stock|G|N|N|100.0|N|N
ARAY|Accuray Incorporated - Common Stock|Q|N|N|100.0|N|N
ARBB|ARB IOT Group Limited - Ordinary Shares|S|N|N|100.0|N|N
ARBE|Arbe Robotics Ltd. - Ordinary Shares|S|N|N|100.0|N|N
ARBEW|Arbe Robotics Ltd. - Warrant|S|N|N|100.0|N|N
ARBK|Argo Blockchain plc - American Depositary Shares|Q|N|N|100.0|N|N
ARBKL|Argo Blockchain plc - 8.75% Senior Notes due 2026|G|N|N|100.0|N|N
ARCB|ArcBest Corporation - Common Stock|Q|N|N|100.0|N|N
ARCC|Ares Capital Corporation - Closed End Fund|Q|N|N|100.0|N|N
ARCT|Arcturus Therapeutics Holdings Inc. - Common Stock|G|N|N|100.0|N|N
ARDX|Ardelyx, Inc. - Common Stock|G|N|N|100.0|N|N
AREC|American Resources Corporation - Class A Common Stock|S|N|N|100.0|N|N
ARGX|argenx SE - American Depositary Shares|Q|N|N|100.0|N|N
ARHS|Arhaus, Inc. - Class A Common Stock|Q|N|N|100.0|N|N
ARKO|ARKO Corp. - Common Stock|S|N|N|100.0|N|N
ARKOW|ARKO Corp. - Warrant|S|N|N|100.0|N|N
ARKR|Ark Restaurants Corp. - Common Stock|G|N|N|100.0|N|N
ARLP|Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests|Q|N|N|100.0|N|N
ARM|Arm Holdings plc - American Depositary Shares|Q|N|N|100.0|N|N
AROW|Arrow Financial Corporation - Common Stock|Q|N|N|100.0|N|N
ARQ|Arq, Inc. - Common Stock|G|N|N|100.0|N|N
ARQQW|Arqit Quantum Inc. - Warrants|S|N|N|100.0|N|N
ARQT|Arcutis Biotherapeutics, Inc. - Common stock|Q|N|N|100.0|N|N
ARRY|Array Technologies, Inc. - Common Stock|G|N|N|100.0|N|N
ARTL|Artelo Biosciences, Inc. - Common Stock|S|N|N|100.0|N|N
ARTLW|Artelo Biosciences, Inc. - Warrant|S|N|N|100.0|N|N
ARTNA|Artesian Resources Corporation - Class A Non-Voting Common Stock|Q|N|N|100.0|N|N
ARTW|Art's-Way Manufacturing Co., Inc. - Common Stock|S|N|N|100.0|N|N
ARVN|Arvinas, Inc. - Common Stock|Q|N|N|100.0|N|N
ARWR|Arrowhead Pharmaceuticals, Inc. - Common Stock|Q|N|N|100.0|N|N
ASCBR|A SPAC II Acquisition Corp. - Right|G|N|N|100.0|N|N
ASCBU|A SPAC II Acquisition Corp. - Unit|G|N|N|100.0|N|N
ASCBW|A SPAC II Acquisition Corp. - Warrant|G|N|N|100.0|N|N
ASLE|AerSale Corporation - Common Stock|S|N|N|100.0|N|N
ASMB|Assembly Biosciences, Inc. - Common Stock|Q|N|N|100.0|N|N
ASML|ASML Holding N.V. - New York Registry Shares|Q|N|N|100.0|N|N
ASND|Ascendis Pharma A/S - American Depositary Shares|Q|N|N|100.0|N|N
ASO|Academy Sports and Outdoors, Inc. - Common Stock|Q|N|N|100.0|N|N
ASPI|ASP Isotopes Inc. - Common Stock|S|N|N|100.0|N|N
ASPS|Altisource Portfolio Solutions S.A. - Common Stock|Q|N|N|100.0|N|N
ASRT|Assertio Holdings, Inc. - Common Stock|S|N|N|100.0|N|N
ASRV|AmeriServ Financial Inc. - Common Stock|G|N|N|100.0|N|N
ASTC|Astrotech Corporation - Common Stock|S|N|N|100.0|N|N
ASTE|Astec Industries, Inc. - Common Stock|Q|N|N|100.0|N|N
ASTH|Astrana Health Inc. - Common Stock|S|N|N|100.0|N|N
ASTL|Algoma Steel Group Inc. - Common Shares|G|N|N|100.0|N|N
ASTLW|Algoma Steel Group Inc. - Warrant|G|N|N|100.0|N|N
ASTS|AST SpaceMobile, Inc. - Class A Common Stock|Q|N|N|100.0|N|N
ASTSW|AST SpaceMobile, Inc. - Warrant|Q|N|N|100.0|N|N
ASUR|Asure Software Inc - Common Stock|S|N|N|100.0|N|N
ASYS|Amtech Systems, Inc. - Common Stock|Q|N|N|100.0|N|N
ATAI|ATAI Life Sciences N.V. - Common Shares|G|N|N|100.0|N|N
ATAT|Atour Lifestyle Holdings Limited - American Depositary Shares|Q|N|N|100.0|N|N
ATCOL|Atlas Corp. - 7.125% Notes due 2027|G|N|N|100.0|N|N
ATEC|Alphatec Holdings, Inc. - Common Stock|Q|N|N|100.0|N|N
ATER|Aterian, Inc. - Common Stock|S|N|N|100.0|N|N
ATEX|Anterix Inc. - Common Stock|S|N|N|100.0|N|N
ATGL|Alpha Technology Group Limited - Ordinary Shares|S|N|N|100.0|N|N
ATHA|Athira Pharma, Inc. - Common Stock|Q|N|N|100.0|N|N
ATHE|Alterity Therapeutics Limited - American Depositary Shares|S|N|N|100.0|N|N
ATLC|Atlanticus Holdings Corporation - Common Stock|Q|N|N|100.0|N|N
ATLCL|Atlanticus Holdings Corporation - 6.125% Senior Notes due 2026|G|N|N|100.0|N|N
ATLCP|Atlanticus Holdings Corporation - 7.625% Series B Cumulative Perpetual Preferred Stock, no par value per share|Q|N|N|100.0|N|N
ATLCZ|Atlanticus Holdings Corporation - 9.25% Senior Notes due 2029|G|N|N|100.0|N|N
ATLO|Ames National Corporation - Common Stock|S|N|N|100.0|N|N
ATLX|Atlas Lithium Corporation - Common Stock|S|N|N|100.0|N|N
ATMC|AlphaTime Acquisition Corp - Ordinary Shares|G|N|N|100.0|N|N
ATMCR|AlphaTime Acquisition Corp - Right|G|N|N|100.0|N|N
ATMCU|AlphaTime Acquisition Corp - Unit|G|N|N|100.0|N|N
ATNI|ATN International, Inc. - Common Stock|Q|N|N|100.0|N|N
ATOM|Atomera Incorporated - Common Stock|S|N|N|100.0|N|N
ATOS|Atossa Therapeutics, Inc. - Common Stock|S|N|N|100.0|N|N
ATRC|AtriCure, Inc. - Common Stock|G|N|N|100.0|N|N
ATRI|Atrion Corporation - Common Stock|Q|N|N|100.0|N|N
ATRO|Astronics Corporation - Common Stock|Q|N|N|100.0|N|N
ATSG|Air Transport Services Group, Inc - Common Stock|Q|N|N|100.0|N|N
ATXS|Astria Therapeutics, Inc. - Common Stock|G|N|N|100.0|N|N
ATYR|aTyr Pharma, Inc. - Common Stock|S|N|N|100.0|N|N
AUBN|Auburn National Bancorporation, Inc. - Common Stock|G|N|N|100.0|N|N
AUDC|AudioCodes Ltd. - Ordinary Shares|Q|N|N|100.0|N|N
AUGX|Augmedix, Inc. - Common Stock|S|N|N|100.0|N|N
AUID|authID Inc. - Common Stock|S|N|N|100.0|N|N
AUPH|Aurinia Pharmaceuticals Inc - Common Shares|G|N|N|100.0|N|N
AUR|Aurora Innovation, Inc.  - Class A Common Stock|Q|N|N|100.0|N|N
AURA|Aura Biosciences, Inc. - Common Stock|G|N|N|100.0|N|N
AUROW|Aurora Innovation, Inc.  - Warrant|Q|N|N|100.0|N|N
AUTL|Autolus Therapeutics plc - American Depositary Shares|Q|N|N|100.0|N|N
AUUD|Auddia Inc. - Common Stock|S|N|N|100.0|N|N
AUUDW|Auddia Inc. - Warrants|S|N|N|100.0|N|N
AVAH|Aveanna Healthcare Holdings Inc. - Common Stock|Q|N|N|100.0|N|N
AVAV|AeroVironment, Inc. - Common Stock|Q|N|N|100.0|N|N
AVBP|ArriVent BioPharma, Inc. - Common Stock|G|N|N|100.0|N|N
AVDL|Avadel Pharmaceuticals plc - Ordinary Share|G|N|N|100.0|N|N
AVDX|AvidXchange Holdings, Inc. - Common Stock|Q|N|N|100.0|N|N
AVGO|Broadcom Inc. - Common Stock|Q|N|N|100.0|N|N
AVGR|Avinger, Inc. - Common Stock|S|N|N|100.0|N|N
AVIR|Atea Pharmaceuticals, Inc. - common stock|Q|N|N|100.0|N|N
AVNW|Aviat Networks, Inc. - Common Stock|Q|N|N|100.0|N|N
AVO|Mission Produce, Inc. - Common Stock|Q|N|N|100.0|N|N
AVPT|AvePoint, Inc. - Class A Common Stock|Q|N|N|100.0|N|N
AVPTW|AvePoint, Inc. - Warrant|Q|N|N|100.0|N|N
AVRO|AVROBIO, Inc. - Common Stock|Q|N|N|100.0|N|N
AVT|Avnet, Inc. - Common Stock|Q|N|N|100.0|N|N
AVTE|Aerovate Therapeutics, Inc. - Common Stock|G|N|N|100.0|N|N
AVXL|Anavex Life Sciences Corp. - Common Stock|Q|N|N|100.0|N|N
AWH|Aspira Women's Health Inc. - Common Stock|S|N|N|100.0|N|N
AWRE|Aware, Inc. - Common Stock|G|N|N|100.0|N|N
AXGN|Axogen, Inc. - Common Stock|S|N|N|100.0|N|N
AXNX|Axonics, Inc. - Common Stock|Q|N|N|100.0|N|N
AXON|Axon Enterprise, Inc. - Common Stock|Q|N|N|100.0|N|N
AXSM|Axsome Therapeutics, Inc. - Common Stock|G|N|N|100.0|N|N
AXTI|AXT Inc - Common Stock|Q|N|N|100.0|N|N
